gene_id,molregno,selectivity,toolscore,mean_Kd,n_measurement,source,symbol
1432,167995,1.11405445767018,8.91243566136146,NA,NA,Most selective,MAPK14
8767,250,0.690226149581874,5.52180919665499,NA,NA,Most selective,RIPK2
2580,14785,0.722387848108635,5.77910278486908,NA,NA,Most selective,GAK
5600,193962,0.801986382081523,6.41589105665218,NA,NA,Most selective,MAPK11
1453,1311579,0.645576164028469,5.16460931222775,NA,NA,Most selective,CSNK1D
5603,109543,0.773372137306951,6.18697709845561,NA,NA,Most selective,MAPK13
6300,109543,0.773372137306951,6.18697709845561,NA,NA,Most selective,MAPK12
5602,409318,0.685502037301913,5.4840162984153,NA,NA,Most selective,MAPK10
2064,14805,1.01024615475795,8.08196923806361,NA,NA,Most selective,ERBB2
1956,650126,1.19093201037267,9.52745608298135,NA,NA,Most selective,EGFR
25,361469,1.10021274070429,8.80170192563431,NA,NA,Most selective,ABL1
2065,14785,0.826928487236255,6.61542789789004,NA,NA,Most selective,ERBB3
2066,650126,0.812074760047168,6.49659808037735,NA,NA,Most selective,ERBB4
6532,28220,0.846786334730309,6.77429067784248,NA,NA,Most selective,SLC6A4
6793,167995,0.676424976633567,5.41139981306853,NA,NA,Most selective,STK10
9748,373381,0.647407990724985,5.17926392579988,NA,NA,Most selective,SLK
2322,573133,1.08059719216083,8.64477753728665,NA,NA,Most selective,FLT3
6790,436277,0.971210385974305,7.76968308779444,NA,NA,Most selective,AURKA
202,363083,0.904657013017895,7.23725610414316,NA,NA,Most selective,AIM1
9212,363083,0.904657013017895,7.23725610414316,NA,NA,Most selective,AURKB
6795,363083,0.762035165449363,6.0962813235949,NA,NA,Most selective,AURKC
5340,1993082,0.706899372867489,5.65519498293991,NA,NA,Most selective,PLG
2915,1836995,0.659929515369347,5.27943612295477,NA,NA,Most selective,GRM5
3702,350235,0.710202414412198,5.68161931529759,NA,NA,Most selective,ITK
6868,161001,0.743094053276282,5.94475242621026,NA,NA,Most selective,ADAM17
1017,361203,0.848795478316996,6.79036382653597,NA,NA,Most selective,CDK2
2932,300825,0.78115874369123,6.24926994952984,NA,NA,Most selective,GSK3B
1025,71663,0.833165311254298,6.66532249003439,NA,NA,Most selective,CDK9
1019,361203,0.902421880757902,7.21937504606322,NA,NA,Most selective,CDK4
1022,71663,0.709686991350822,5.67749593080657,NA,NA,Most selective,CDK7
5129,71663,0.627907432403583,5.02325945922866,NA,NA,Most selective,CDK18
5127,71663,0.719345604319719,5.75476483455775,NA,NA,Most selective,CDK16
2931,71663,0.671082287135783,5.36865829708626,NA,NA,Most selective,GSK3A
5128,71663,0.689509741471235,5.51607793176988,NA,NA,Most selective,CDK17
5294,470511,0.779702361561707,6.23761889249365,NA,NA,Most selective,PIK3CG
5290,568342,1.08161295638356,8.6529036510685,NA,NA,Most selective,PIK3CA
1066,77749,0.659625449761706,5.27700359809365,NA,NA,Most selective,CES1
6788,299120,0.654249341989304,5.23399473591443,NA,NA,Most selective,STK3
2159,382084,1.00553705455306,8.0442964364245,NA,NA,Most selective,F10
2914,1177420,0.686970558262593,5.49576446610075,NA,NA,Most selective,GRM4
3791,165012,0.945703798319594,7.56563038655676,NA,NA,Most selective,KDR
2321,165012,0.887091720655742,7.09673376524593,NA,NA,Most selective,FLT1
3815,205165,1.04208241655615,8.33665933244916,NA,NA,Most selective,KIT
5156,205165,0.871630537279616,6.97304429823693,NA,NA,Most selective,PDGFRA
1436,430664,0.999691035615709,7.99752828492567,NA,NA,Most selective,CSF1R
2324,568338,0.800424692162064,6.40339753729651,NA,NA,Most selective,FLT4
5159,205165,0.919811706911453,7.35849365529162,NA,NA,Most selective,PDGFRB
4593,371147,0.656372089114655,5.25097671291724,NA,NA,Most selective,MUSK
1814,94194,0.739261446285033,5.91409157028026,NA,NA,Most selective,DRD3
5734,632646,0.75529616867509,6.04236934940072,NA,NA,Most selective,PTGER4
2147,64500,0.722114053698729,5.77691242958983,NA,NA,Most selective,F2
2475,568342,0.810425998039279,6.48340798431423,NA,NA,Most selective,MTOR
4322,493539,0.876277223020296,7.01021778416237,NA,NA,Most selective,MMP13
1111,1560522,0.736265554906744,5.89012443925395,NA,NA,Most selective,CHEK1
8317,1286951,0.722706666390966,5.78165333112773,NA,NA,Most selective,CDC7
10013,1336035,0.704611469074493,5.63689175259595,NA,NA,Most selective,HDAC6
4233,698457,1.11701627778213,8.93613022225706,NA,NA,Most selective,MET
6714,62111,0.8499219657339,6.7993757258712,NA,NA,Most selective,SRC
11183,604615,0.655457876564265,5.24366301251412,NA,NA,Most selective,MAP4K5
3352,16396,0.736591429632022,5.89273143705617,NA,NA,Most selective,HTR1D
2053,565613,0.642912053675634,5.14329642940508,NA,NA,Most selective,EPHX2
3351,16396,0.79150695747867,6.33205565982936,NA,NA,Most selective,HTR1B
142,1959075,0.875980514215193,7.00784411372154,NA,NA,Most selective,PARP1
100,72191,0.758297755140469,6.06638204112375,NA,NA,Most selective,ADA
238,1173310,0.712545848624201,5.70036678899361,NA,NA,Most selective,ALK
6098,602271,0.653938908326019,5.23151126660815,NA,NA,Most selective,ROS1
5979,573133,0.984632843678163,7.87706274942531,NA,NA,Most selective,RET
780,88797,0.780998312905968,6.24798650324775,NA,NA,Most selective,DDR1
5581,469313,0.734381265370146,5.87505012296117,NA,NA,Most selective,PRKCE
5580,144959,0.770656834292666,6.16525467434133,NA,NA,Most selective,PRKCD
5583,469313,0.813937010234969,6.51149608187975,NA,NA,Most selective,PRKCH
5588,144959,0.767354802084443,6.13883841667554,NA,NA,Most selective,PRKCQ
5566,582954,0.682059949238587,5.45647959390869,NA,NA,Most selective,PRKACA
5578,582954,0.681139917302943,5.44911933842354,NA,NA,Most selective,PRKCA
1803,549980,0.848692632548954,6.78954106039163,NA,NA,Most selective,DPP4
640,361469,0.733286720105381,5.86629376084305,NA,NA,Most selective,BLK
5579,144959,0.806173871758297,6.44939097406638,NA,NA,Most selective,PRKCB
5292,491688,0.67945860205884,5.43566881647072,NA,NA,Most selective,PIM1
415116,144959,0.689066333652981,5.51253066922385,NA,NA,Most selective,PIM3
5138,1560594,0.789242594630676,6.31394075704541,NA,NA,Most selective,PDE2A
5347,490644,1.00426605070601,8.03412840564808,NA,NA,Most selective,PLK1
23476,490644,0.705266824698476,5.64213459758781,NA,NA,Most selective,BRD4
3932,107756,0.848777838838569,6.79022271070855,NA,NA,Most selective,LCK
5894,510783,0.931380607068498,7.45104485654798,NA,NA,Most selective,RAF1
2339,214404,0.718995934411448,5.75196747529158,NA,NA,Most selective,FNTA
2342,214404,0.728559006551994,5.82847205241595,NA,NA,Most selective,FNTB
10733,716337,0.798751237144513,6.3900098971561,NA,NA,Most selective,PLK4
1128,451337,0.629237844645762,5.0339027571661,NA,NA,Most selective,CHRM1
5747,630975,0.679871159886877,5.43896927909501,NA,NA,Most selective,PTK2
85443,367860,0.796240503391458,6.36992402713167,NA,NA,Most selective,DCLK3
3717,1153572,1.03051147527066,8.24409180216525,NA,NA,Most selective,JAK2
3718,367860,1.10048411855001,8.80387294840005,NA,NA,Most selective,JAK3
3716,367860,1.06384824348568,8.51078594788541,NA,NA,Most selective,JAK1
