gene_id,molregno,selectivity,toolscore,mean_Kd,count,source,symbol
1432,167995,1.11405445767018,8.91243566136146,NA,NA,bestclass_I,MAPK14
8767,250,0.690226149581874,5.52180919665499,NA,NA,bestclass_I,RIPK2
2580,14785,0.722387848108635,5.77910278486908,NA,NA,bestclass_I,GAK
5600,193962,0.801986382081523,6.41589105665218,NA,NA,bestclass_I,MAPK11
1453,1311579,0.645576164028469,5.16460931222775,NA,NA,bestclass_I,CSNK1D
5603,109543,0.773372137306951,6.18697709845561,NA,NA,bestclass_I,MAPK13
6300,109543,0.773372137306951,6.18697709845561,NA,NA,bestclass_I,MAPK12
5602,409318,0.685502037301913,5.4840162984153,NA,NA,bestclass_I,MAPK10
2064,14805,1.01024615475795,8.08196923806361,NA,NA,bestclass_I,ERBB2
1956,650126,1.19093201037267,9.52745608298135,NA,NA,bestclass_I,EGFR
25,361469,1.10021274070429,8.80170192563431,NA,NA,bestclass_I,ABL1
2065,14785,0.826928487236255,6.61542789789004,NA,NA,bestclass_I,ERBB3
2066,650126,0.812074760047168,6.49659808037735,NA,NA,bestclass_I,ERBB4
6532,28220,0.846786334730309,6.77429067784248,NA,NA,bestclass_I,SLC6A4
6793,167995,0.676424976633567,5.41139981306853,NA,NA,bestclass_I,STK10
9748,373381,0.647407990724985,5.17926392579988,NA,NA,bestclass_I,SLK
2322,573133,1.08059719216083,8.64477753728665,NA,NA,bestclass_I,FLT3
6790,436277,0.971210385974305,7.76968308779444,NA,NA,bestclass_I,AURKA
202,363083,0.904657013017895,7.23725610414316,NA,NA,bestclass_I,AIM1
9212,363083,0.904657013017895,7.23725610414316,NA,NA,bestclass_I,AURKB
6795,363083,0.762035165449363,6.0962813235949,NA,NA,bestclass_I,AURKC
5340,1993082,0.706899372867489,5.65519498293991,NA,NA,bestclass_I,PLG
2915,1836995,0.659929515369347,5.27943612295477,NA,NA,bestclass_I,GRM5
3702,350235,0.710202414412198,5.68161931529759,NA,NA,bestclass_I,ITK
6868,161001,0.743094053276282,5.94475242621026,NA,NA,bestclass_I,ADAM17
1017,361203,0.848795478316996,6.79036382653597,NA,NA,bestclass_I,CDK2
2932,300825,0.78115874369123,6.24926994952984,NA,NA,bestclass_I,GSK3B
1025,71663,0.833165311254298,6.66532249003439,NA,NA,bestclass_I,CDK9
1019,361203,0.902421880757902,7.21937504606322,NA,NA,bestclass_I,CDK4
1022,71663,0.709686991350822,5.67749593080657,NA,NA,bestclass_I,CDK7
5129,71663,0.627907432403583,5.02325945922866,NA,NA,bestclass_I,CDK18
5127,71663,0.719345604319719,5.75476483455775,NA,NA,bestclass_I,CDK16
2931,71663,0.671082287135783,5.36865829708626,NA,NA,bestclass_I,GSK3A
5128,71663,0.689509741471235,5.51607793176988,NA,NA,bestclass_I,CDK17
5294,470511,0.779702361561707,6.23761889249365,NA,NA,bestclass_I,PIK3CG
5290,568342,1.08161295638356,8.6529036510685,NA,NA,bestclass_I,PIK3CA
